county_name,rank,lat,lon,description
Hennepin County,48,45.014924,-93.48728953,"Ranks highly in: Building_Loss_Rate: 98%, Diesel_Particulate: 97%, Traffic_Proximity: 97%"
Madison County,49,45.2839905,-111.9151342,"Ranks highly in: Agricultural_Loss_Rate: 99%, Building_Loss_Rate: 98%, Asthma: 98%"
El Paso County,50,38.824058,-104.5630645,"Ranks highly in: Building_Loss_Rate: 98%, Agricultural_Loss_Rate: 97%, Household_Income: 97%"
Macomb County,51,42.672301,-82.90139613,"Ranks highly in: Asthma: 98%, PM25: 97%, Building_Loss_Rate: 97%"
Lee County,52,26.5532115,-81.91367325,"Ranks highly in: Agricultural_Loss_Rate: 99%, Building_Loss_Rate: 99%, Household_Income: 97%"
Delaware County,53,42.1826495,-74.95306837,"Ranks highly in: PM25: 97%, Asthma: 97%, Building_Loss_Rate: 97%"
Baltimore city,54,39.2845275,-76.62040905,"Ranks highly in: Asthma: 98%, Household_Income: 98%, Diesel_Particulate: 97%"
Mecklenburg County,55,36.7157155,-78.3335364,"Ranks highly in: PM25: 97%, Diesel_Particulate: 97%, Household_Income: 96%"
Prince George's County,56,38.833389,-76.84243723,"Ranks highly in: Diesel_Particulate: 97%, Household_Income: 97%, Traffic_Proximity: 97%"
Davidson County,57,36.1870535,-86.78086235,"Ranks highly in: Building_Loss_Rate: 98%, Agricultural_Loss_Rate: 96%, PM25: 96%"
Travis County,58,30.3266895,-97.77787875,"Ranks highly in: Building_Loss_Rate: 98%, PM25: 98%, Household_Income: 96%"
Fresno County,59,36.7463335,-119.6363175,"Ranks highly in: PM25: 98%, Agricultural_Loss_Rate: 98%, Asthma: 96%"
Contra Costa County,60,37.909805,-121.9855348,"Ranks highly in: Agricultural_Loss_Rate: 98%, PM25: 98%, Traffic_Proximity: 97%"
Orleans Parish,61,30.0329685,-89.97467248,"Ranks highly in: Building_Loss_Rate: 98%, Diesel_Particulate: 97%, Household_Income: 96%"
District of Columbia,62,38.893581,-76.98771919,"Ranks highly in: Traffic_Proximity: 97%, Diesel_Particulate: 97%, Asthma: 97%"
DeKalb County,63,34.5297905,-85.7231903,"Ranks highly in: PM25: 97%, Agricultural_Loss_Rate: 96%, Household_Income: 96%"
Baltimore County,64,39.438964,-76.63640994,"Ranks highly in: Diesel_Particulate: 97%, Asthma: 96%, Traffic_Proximity: 96%"
Pinellas County,65,27.891491,-82.73863476,"Ranks highly in: Household_Income: 97%, Diesel_Particulate: 97%, Traffic_Proximity: 97%"
Nassau County,66,30.551664,-81.87327766,"Ranks highly in: Diesel_Particulate: 98%, Traffic_Proximity: 98%, Asthma: 95%"
Salt Lake County,67,40.6682305,-111.9030702,"Ranks highly in: Asthma: 98%, Diesel_Particulate: 97%, Traffic_Proximity: 96%"
DuPage County,68,41.8398865,-88.09105311,"Ranks highly in: PM25: 98%, Diesel_Particulate: 97%, Building_Loss_Rate: 96%"
Fayette County,69,29.895938,-96.91135826,"Ranks highly in: Agricultural_Loss_Rate: 98%, Building_Loss_Rate: 97%, Asthma: 96%"
Fairfax County,70,38.8316505,-77.32334046,"Ranks highly in: Diesel_Particulate: 98%, Traffic_Proximity: 97%, PM25: 97%"
Johnson County,71,44.0268305,-106.5693223,"Ranks highly in: Building_Loss_Rate: 98%, Agricultural_Loss_Rate: 96%, Diesel_Particulate: 96%"
Tulsa County,72,36.1397235,-96.02991097,"Ranks highly in: PM25: 97%, Building_Loss_Rate: 97%, Asthma: 96%"
Hartford County,73,41.791739,-72.74403948,"Ranks highly in: Agricultural_Loss_Rate: 99%, Asthma: 98%, Household_Income: 97%"
Adams County,74,46.9986855,-118.4708578,"Ranks highly in: Building_Loss_Rate: 97%, Agricultural_Loss_Rate: 97%, Household_Income: 96%"
Lancaster County,75,40.018579,-76.23383975,"Ranks highly in: Agricultural_Loss_Rate: 97%, PM25: 96%, Asthma: 96%"
Pima County,76,31.9703455,-111.7845043,"Ranks highly in: Asthma: 97%, Household_Income: 97%, Diesel_Particulate: 96%"
Cumberland County,77,43.8189145,-70.32678864,"Ranks highly in: Agricultural_Loss_Rate: 99%, Asthma: 97%, Building_Loss_Rate: 97%"
Kent County,78,39.1178785,-75.48306947,"Ranks highly in: Asthma: 97%, Agricultural_Loss_Rate: 96%, Household_Income: 96%"
San Francisco County,79,37.7291735,-123.0466411,"Ranks highly in: PM25: 98%, Traffic_Proximity: 97%, Diesel_Particulate: 97%"
Richmond County,80,34.9943315,-79.72780176,"Ranks highly in: Asthma: 96%, PM25: 96%, Diesel_Particulate: 96%"
Wake County,81,35.797616,-78.61005202,"Ranks highly in: Agricultural_Loss_Rate: 98%, PM25: 96%, Building_Loss_Rate: 95%"
York County,82,43.365788,-70.65703752,"Ranks highly in: Agricultural_Loss_Rate: 98%, Asthma: 97%, Household_Income: 95%"
Westchester County,83,41.119296,-73.78853575,"Ranks highly in: Diesel_Particulate: 97%, Traffic_Proximity: 97%, Asthma: 96%"
Fairfield County,84,34.373699,-81.07792905,"Ranks highly in: Agricultural_Loss_Rate: 97%, Household_Income: 97%, Traffic_Proximity: 96%"
Multnomah County,85,45.5806265,-122.6647591,"Ranks highly in: PM25: 97%, Asthma: 96%, Diesel_Particulate: 96%"
Butler County,86,37.781009,-96.83946144,"Ranks highly in: Agricultural_Loss_Rate: 97%, PM25: 96%, Asthma: 96%"
Knox County,87,42.6597395,-97.8953737,"Ranks highly in: Agricultural_Loss_Rate: 98%, Building_Loss_Rate: 96%, Asthma: 95%"
New Haven County,88,41.365805,-72.87758492,"Ranks highly in: Agricultural_Loss_Rate: 98%, Asthma: 97%, Household_Income: 96%"
Ventura County,89,34.447038,-119.077248,"Ranks highly in: Traffic_Proximity: 96%, Building_Loss_Rate: 95%, PM25: 97%"
Pierce County,90,47.0660035,-122.0401584,"Ranks highly in: Asthma: 97%, Household_Income: 97%, Diesel_Particulate: 96%"
Denver County,91,39.764358,-104.9549092,"Ranks highly in: Building_Loss_Rate: 97%, Diesel_Particulate: 96%, Traffic_Proximity: 95%"
Summit County,92,40.9001345,-110.7556209,"Ranks highly in: Asthma: 96%, Building_Loss_Rate: 95%, PM25: 95%"
Duval County,93,30.344607,-81.65217519,"Ranks highly in: Household_Income: 96%, Diesel_Particulate: 95%, Traffic_Proximity: 95%"
Will County,94,41.465184,-87.88893156,"Ranks highly in: PM25: 96%, Agricultural_Loss_Rate: 96%, Diesel_Particulate: 95%"
Arapahoe County,95,39.652158,-104.2830625,"Ranks highly in: Building_Loss_Rate: 97%, Diesel_Particulate: 95%, Traffic_Proximity: 95%"
Collin County,96,33.194481,-96.56757608,"Ranks highly in: Building_Loss_Rate: 97%, PM25: 97%, Diesel_Particulate: 95%"
San Joaquin County,97,37.891053,-121.247929,"Ranks highly in: PM25: 97%, Asthma: 95%, Traffic_Proximity: 95%"
Essex County,98,42.6352555,-70.85654501,"Ranks highly in: Traffic_Proximity: 98%, Diesel_Particulate: 98%, Household_Income: 99%"
Bucks County,99,40.328626,-75.13003008,"Ranks highly in: Agricultural_Loss_Rate: 97%, PM25: 95%, Diesel_Particulate: 94%"
Pulaski County,100,37.111618,-84.59658846,"Ranks highly in: Building_Loss_Rate: 96%, Agricultural_Loss_Rate: 96%, PM25: 95%"
Worcester County,101,42.364698,-71.95768631,"Ranks highly in: Agricultural_Loss_Rate: 98%, Asthma: 97%, Traffic_Proximity: 96%"
Kern County,102,35.294864,-118.7203829,"Ranks highly in: PM25: 97%, Asthma: 95%, Household_Income: 94%"
Richland County,103,47.751103,-104.6391314,"Ranks highly in: Building_Loss_Rate: 96%, Asthma: 95%, Agricultural_Loss_Rate: 95%"
Denton County,104,33.208946,-97.11555407,"Ranks highly in: Building_Loss_Rate: 97%, PM25: 96%, Diesel_Particulate: 95%"
Warren County,105,41.8116805,-79.28090546,"Ranks highly in: Agricultural_Loss_Rate: 98%, Building_Loss_Rate: 97%, Asthma: 95%"
Lucas County,106,41.6869935,-83.4965977,"Ranks highly in: Asthma: 96%, Household_Income: 95%, Traffic_Proximity: 94%"
Greene County,107,42.27998,-74.1318174,"Ranks highly in: Agricultural_Loss_Rate: 98%, Building_Loss_Rate: 97%, Asthma: 97%"
Providence County,108,41.87096,-71.56637361,"Ranks highly in: Asthma: 97%, Traffic_Proximity: 95%, Household_Income: 95%"
Mobile County,109,30.658169,-88.19926188,"Ranks highly in: Building_Loss_Rate: 96%, PM25: 94%, Diesel_Particulate: 94%"
Allen County,110,41.0932205,-85.07023077,"Ranks highly in: Asthma: 95%, Agricultural_Loss_Rate: 94%, Building_Loss_Rate: 94%"
Jefferson Parish,111,29.678225,-90.09273574,"Ranks highly in: Building_Loss_Rate: 97%, Diesel_Particulate: 95%, Traffic_Proximity: 94%"
Ramsey County,112,48.2294295,-98.74623914,"Ranks highly in: Household_Income: 95%, Building_Loss_Rate: 95%, Diesel_Particulate: 95%"
Chester County,113,34.681987,-81.16582032,"Ranks highly in: Agricultural_Loss_Rate: 98%, PM25: 96%, Asthma: 93%"
St. Louis city,114,38.6531825,-90.24087605,"Ranks highly in: Household_Income: 95%, Diesel_Particulate: 95%, Asthma: 94%"
St. Clair County,115,38.0242615,-93.7827133,"Ranks highly in: Agricultural_Loss_Rate: 95%, Asthma: 95%, Building_Loss_Rate: 95%"
Forsyth County,116,36.1174185,-80.25207456,"Ranks highly in: Agricultural_Loss_Rate: 97%, Building_Loss_Rate: 95%, PM25: 93%"
New Castle County,117,39.5651295,-75.64750358,"Ranks highly in: Traffic_Proximity: 94%, PM25: 94%, Diesel_Particulate: 94%"
Genesee County,118,43.000057,-78.18647127,"Ranks highly in: Asthma: 97%, Household_Income: 94%, Building_Loss_Rate: 94%"
Sedgwick County,119,37.693464,-97.48023028,"Ranks highly in: Building_Loss_Rate: 96%, Asthma: 94%, Household_Income: 94%"
San Mateo County,120,37.3812465,-122.3390299,"Ranks highly in: PM25: 96%, Traffic_Proximity: 96%, Diesel_Particulate: 92%"
Clay County,121,36.3495705,-90.41384352,"Ranks highly in: Agricultural_Loss_Rate: 96%, Building_Loss_Rate: 96%, Household_Income: 94%"
Benton County,122,36.2992945,-94.22753794,"Ranks highly in: Agricultural_Loss_Rate: 97%, PM25: 94%, Asthma: 94%"
Hidalgo County,123,26.408942,-98.18606384,"Ranks highly in: Agricultural_Loss_Rate: 96%, PM25: 95%, Building_Loss_Rate: 95%"
Bristol County,124,41.756472,-71.11581924,"Ranks highly in: Asthma: 96%, Traffic_Proximity: 94%, Agricultural_Loss_Rate: 94%"
Williamson County,125,30.65365,-97.63518246,"Ranks highly in: Agricultural_Loss_Rate: 96%, PM25: 95%, Building_Loss_Rate: 94%"
Pasco County,126,28.324785,-82.4254254,"Ranks highly in: Agricultural_Loss_Rate: 95%, Building_Loss_Rate: 94%, Household_Income: 94%"
Snohomish County,127,48.037388,-121.7473157,"Ranks highly in: Asthma: 96%, Diesel_Particulate: 95%, Traffic_Proximity: 94%"
Gwinnett County,128,33.960396,-84.04517925,"Ranks highly in: PM25: 95%, Diesel_Particulate: 94%, Agricultural_Loss_Rate: 93%"
Cobb County,129,33.912405,-84.58504632,"Ranks highly in: PM25: 96%, Building_Loss_Rate: 94%, Diesel_Particulate: 94%"
East Baton Rouge Parish,130,30.5163245,-91.08938751,"Ranks highly in: Building_Loss_Rate: 95%, PM25: 94%, Diesel_Particulate: 93%"
Guilford County,131,36.0784625,-79.7900131,"Ranks highly in: Agricultural_Loss_Rate: 95%, Traffic_Proximity: 93%, Asthma: 93%"
Onondaga County,132,43.0216825,-76.20283062,"Ranks highly in: Asthma: 96%, Household_Income: 94%, Traffic_Proximity: 94%"
Bernalillo County,133,35.0444055,-106.6769567,"Ranks highly in: Traffic_Proximity: 95%, Asthma: 94%, Household_Income: 94%"
Lincoln County,134,37.7594855,-114.9727966,"Ranks highly in: Agricultural_Loss_Rate: 98%, Building_Loss_Rate: 96%, Household_Income: 94%"
Winnebago County,135,44.0684395,-88.64513199,"Ranks highly in: Building_Loss_Rate: 95%, Household_Income: 93%, Traffic_Proximity: 93%"
Berks County,136,40.4075895,-75.92972716,"Ranks highly in: PM25: 94%, Asthma: 93%, Agricultural_Loss_Rate: 93%"
Scott County,137,34.8834705,-94.0785107,"Ranks highly in: Agricultural_Loss_Rate: 96%, Building_Loss_Rate: 94%, Household_Income: 93%"
Spokane County,138,47.653486,-117.4305043,"Ranks highly in: PM25: 95%, Asthma: 95%, Traffic_Proximity: 92%"
Union County,139,36.3690075,-103.5248721,"Ranks highly in: Agricultural_Loss_Rate: 97%, PM25: 97%, Building_Loss_Rate: 97%"
Volusia County,140,29.0228335,-81.10708243,"Ranks highly in: Building_Loss_Rate: 96%, Agricultural_Loss_Rate: 93%, Household_Income: 92%"
Sonoma County,141,38.4628855,-122.8943433,"Ranks highly in: Agricultural_Loss_Rate: 97%, PM25: 94%, Traffic_Proximity: 92%"
Stanislaus County,142,37.6057365,-120.8870564,"Ranks highly in: Agricultural_Loss_Rate: 95%, PM25: 95%, Asthma: 93%"
Utah County,143,40.1770515,-111.6910134,"Ranks highly in: Diesel_Particulate: 94%, Traffic_Proximity: 93%, Household_Income: 93%"
Harrison County,144,32.559802,-94.37244955,"Ranks highly in: Building_Loss_Rate: 95%, Agricultural_Loss_Rate: 94%, Asthma: 93%"
Greenville County,145,34.849808,-82.35149794,"Ranks highly in: PM25: 94%, Diesel_Particulate: 92%, Household_Income: 92%"
Henry County,146,41.366098,-90.14530553,"Ranks highly in: Agricultural_Loss_Rate: 97%, Building_Loss_Rate: 94%, Household_Income: 93%"
Lawrence County,147,36.069383,-91.08692948,"Ranks highly in: Agricultural_Loss_Rate: 94%, Asthma: 94%, Household_Income: 93%"
Seminole County,148,28.7448325,-81.23941322,"Ranks highly in: Building_Loss_Rate: 95%, Diesel_Particulate: 92%, Agricultural_Loss_Rate: 92%"
Stark County,149,46.8202035,-102.6639832,"Ranks highly in: Asthma: 94%, PM25: 93%, Building_Loss_Rate: 92%"
Washoe County,150,40.581992,-119.6545648,"Ranks highly in: Agricultural_Loss_Rate: 95%, Asthma: 94%, Traffic_Proximity: 92%"
Hampden County,151,42.170387,-72.62674632,"Ranks highly in: Asthma: 95%, Agricultural_Loss_Rate: 95%, Traffic_Proximity: 93%"
Solano County,152,38.285486,-121.9018472,"Ranks highly in: PM25: 95%, Agricultural_Loss_Rate: 94%, Traffic_Proximity: 93%"
Luzerne County,153,41.164622,-75.95410982,"Ranks highly in: Asthma: 94%, Building_Loss_Rate: 92%, Household_Income: 92%"
Dane County,154,43.0695875,-89.42475617,"Ranks highly in: Traffic_Proximity: 93%, Building_Loss_Rate: 92%, Asthma: 92%"
Brevard County,155,28.3067205,-80.70051479,"Ranks highly in: Building_Loss_Rate: 96%, Traffic_Proximity: 92%, Household_Income: 92%"
Cass County,156,46.934617,-97.23636621,"Ranks highly in: Agricultural_Loss_Rate: 96%, Building_Loss_Rate: 94%, Household_Income: 93%"
Westmoreland County,157,40.360394,-79.38672343,"Ranks highly in: PM25: 95%, Asthma: 93%, Household_Income: 92%"
Washtenaw County,158,42.2528765,-83.83750135,"Ranks highly in: Traffic_Proximity: 93%, Asthma: 92%, Diesel_Particulate: 92%"
Cameron County,159,26.124847,-97.48544851,"Ranks highly in: Building_Loss_Rate: 95%, PM25: 93%, Agricultural_Loss_Rate: 92%"
Lehigh County,160,40.603049,-75.58328518,"Ranks highly in: PM25: 93%, Diesel_Particulate: 92%, Traffic_Proximity: 91%"
Norfolk County,161,42.156612,-71.20274,"Ranks highly in: Traffic_Proximity: 95%, Diesel_Particulate: 93%, Asthma: 92%"
Anne Arundel County,162,38.9742715,-76.54393497,"Ranks highly in: PM25: 92%, Diesel_Particulate: 93%, Traffic_Proximity: 92%"
Cleveland County,163,33.8842255,-92.1838638,"Ranks highly in: Building_Loss_Rate: 93%, Agricultural_Loss_Rate: 93%, Asthma: 92%"
Plymouth County,164,42.73541,-96.24545784,"Ranks highly in: Agricultural_Loss_Rate: 96%, Asthma: 93%, Traffic_Proximity: 92%"
Escambia County,165,30.7457135,-87.41982783,"Ranks highly in: Building_Loss_Rate: 94%, Household_Income: 90%, PM25: 89%"
Carroll County,166,39.41099,-93.47284192,"Ranks highly in: Agricultural_Loss_Rate: 97%, Building_Loss_Rate: 93%, Household_Income: 93%"
Fort Bend County,167,29.52543,-95.74560152,"Ranks highly in: Building_Loss_Rate: 94%, PM25: 93%, Agricultural_Loss_Rate: 92%"
Boone County,168,37.997157,-81.71432358,"Ranks highly in: Agricultural_Loss_Rate: 94%, Building_Loss_Rate: 93%, PM25: 91%"
Northampton County,169,37.2728295,-75.92583183,"Ranks highly in: PM25: 92%, Agricultural_Loss_Rate: 92%, Asthma: 91%"
Crawford County,170,41.6656205,-80.06614274,"Ranks highly in: Agricultural_Loss_Rate: 94%, Building_Loss_Rate: 93%, Household_Income: 93%"
Brown County,171,45.5898185,-98.35089128,"Ranks highly in: Agricultural_Loss_Rate: 95%, Household_Income: 93%, Asthma: 92%"
Morgan County,172,40.26868,-103.8108372,"Ranks highly in: Agricultural_Loss_Rate: 96%, Building_Loss_Rate: 93%, Asthma: 92%"
Dakota County,173,44.6976065,-93.02523371,"Ranks highly in: Building_Loss_Rate: 94%, Diesel_Particulate: 91%, Traffic_Proximity: 91%"
Hinds County,174,32.310993,-90.42533187,"Ranks highly in: PM25: 92%, Building_Loss_Rate: 92%, Asthma: 91%"
Calhoun County,175,42.2463835,-85.00695903,"Ranks highly in: Agricultural_Loss_Rate: 95%, Asthma: 93%, Building_Loss_Rate: 93%"
St. Charles County,176,38.75124,-90.7275927,"Ranks highly in: PM25: 93%, Building_Loss_Rate: 92%, Diesel_Particulate: 92%"
Chatham County,177,35.6942615,-79.25635315,"Ranks highly in: Household_Income: 91%, Diesel_Particulate: 90%, Traffic_Proximity: 90%"
Howard County,178,40.4713465,-86.1192191,"Ranks highly in: Agricultural_Loss_Rate: 94%, Diesel_Particulate: 92%, Building_Loss_Rate: 91%"
Cherokee County,179,42.7355845,-95.62396259,"Ranks highly in: Agricultural_Loss_Rate: 95%, Building_Loss_Rate: 93%, PM25: 92%"
Clinton County,180,41.8802895,-90.53281325,"Ranks highly in: Agricultural_Loss_Rate: 94%, Asthma: 93%, Building_Loss_Rate: 92%"
Marshall County,181,48.3583685,-96.36953928,"Ranks highly in: Agricultural_Loss_Rate: 95%, Building_Loss_Rate: 93%, Asthma: 91%"
Kane County,182,37.273039,-111.8853443,"Ranks highly in: PM25: 93%, Diesel_Particulate: 92%, Traffic_Proximity: 89%"
Columbia County,183,46.311916,-117.9268747,"Ranks highly in: Agricultural_Loss_Rate: 94%, Building_Loss_Rate: 92%, Asthma: 92%"
Rockingham County,184,43.006388,-71.023553,"Ranks highly in: Agricultural_Loss_Rate: 97%, Asthma: 92%, Household_Income: 91%"
Nueces County,185,27.7770185,-97.48054164,"Ranks highly in: Building_Loss_Rate: 94%, PM25: 92%, Traffic_Proximity: 91%"
St. Joseph County,186,41.914979,-85.52639183,"Ranks highly in: Asthma: 93%, Household_Income: 92%, Diesel_Particulate: 91%"
Lane County,187,43.8638785,-122.7492329,"Ranks highly in: Asthma: 94%, PM25: 92%, Traffic_Proximity: 90%"
Dauphin County,188,40.389572,-76.83720556,"Ranks highly in: PM25: 92%, Asthma: 91%, Diesel_Particulate: 90%"
Norfolk city,189,36.9306505,-76.25731117,"Ranks highly in: Traffic_Proximity: 93%, Household_Income: 92%, Diesel_Particulate: 92%"
Charleston County,190,32.8488485,-79.74176233,"Ranks highly in: Diesel_Particulate: 91%, Traffic_Proximity: 91%, Asthma: 90%"
Leon County,191,31.3138895,-95.99665315,"Ranks highly in: PM25: 92%, Building_Loss_Rate: 91%, Diesel_Particulate: 89%"
Wyandotte County,192,39.0977555,-94.75789896,"Ranks highly in: Asthma: 92%, Household_Income: 91%, Diesel_Particulate: 91%"
Bell County,193,31.036351,-97.50852842,"Ranks highly in: Building_Loss_Rate: 91%, PM25: 91%, Household_Income: 89%"
Caddo Parish,194,32.6082695,-93.90108736,"Ranks highly in: PM25: 93%, Asthma: 90%, Diesel_Particulate: 89%"
Tulare County,195,36.267123,-118.8232124,"Ranks highly in: PM25: 94%, Asthma: 91%, Traffic_Proximity: 90%"
Virginia Beach city,196,36.7953025,-76.05092508,"Ranks highly in: Traffic_Proximity: 92%, Diesel_Particulate: 91%, Building_Loss_Rate: 90%"
Anoka County,197,45.225085,-93.2424879,"Ranks highly in: Building_Loss_Rate: 93%, Diesel_Particulate: 90%, Agricultural_Loss_Rate: 90%"
Livingston County,198,40.8663935,-88.58697156,"Ranks highly in: Agricultural_Loss_Rate: 94%, Asthma: 92%, Building_Loss_Rate: 92%"
Randolph County,199,38.753468,-79.8271214,"Ranks highly in: Agricultural_Loss_Rate: 95%, Building_Loss_Rate: 91%, Asthma: 90%"
Lorain County,200,41.473145,-82.1587792,"Ranks highly in: Asthma: 92%, PM25: 90%, Diesel_Particulate: 89%"
Mahoning County,201,41.0170645,-80.76042044,"Ranks highly in: PM25: 93%, Asthma: 92%, Household_Income: 89%"
Weld County,202,40.5013945,-104.5458377,"Ranks highly in: Building_Loss_Rate: 92%, Diesel_Particulate: 89%, Asthma: 89%"
Pinal County,203,32.978007,-111.3261723,"Ranks highly in: Agricultural_Loss_Rate: 96%, Asthma: 91%, Household_Income: 90%"
Lubbock County,204,33.6107565,-101.8205431,"Ranks highly in: Agricultural_Loss_Rate: 93%, Building_Loss_Rate: 93%, Traffic_Proximity: 90%"
